Source,Target,Direction,Data,Frequency,Type
Node144,Node137,1,Electronic Communications,EOD,Batch
Node002,Node143,2,"Validated Markets Data, Market Data",Intraday,API
Node004,Node120,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node143,Node128,2,"Trades, Static Data",Intraday,API
Node004,Node121,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node004,Node019,1,IBank Orders,Intraday,API
Node004,Node122,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node004,Node024,1,IBank Orders,Intraday,API
Node004,Node123,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node004,Node032,1,IBank Orders,Intraday,API
Node004,Node118,1,IBank Orders,Intraday,API
Node004,Node124,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node004,Node119,1,IBank Orders,Intraday,API
Node004,Node131,1,"Deals, quotes, depth ",Intraday,MSG
Node004,Node125,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node004,Node143,2,"FX Trades, Direct Trader Deals",Intraday,MSG
Node004,Node084,1,IBank Orders,Intraday,API
Node004,Node126,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node106,1,License,Intraday,API
Node003,Node037,2,Settlements,EOD,Batch
Node006,Node058,2,RFQ,Intraday,API
Node006,Node148,1,"Trades, Block allocation",Intraday,MSG
Node007,Node148,1,Trades,EOD,Batch
Node007,Node093,1,Trades,EOD,Batch
Node008,Node002,1,Market Data,EOD,Batch
Node008,Node058,1,Reference Data,EOD,Batch
Node008,Node148,1,Market Data,EOD,Batch
Node008,Node087,1,Markets Data,Intraday,API
Node009,Node106,1,Confirmation,Intraday,API
Node138,Node137,1,Electronic Communications,EOD,Batch
Node007,Node093,1,STP VCON (affirmation),Intraday,API
Node010,Node093,1,Equities & futures,Intraday,API
Node012,Node143,1,"Customer, Facility",Intraday,MSG
Node115,Node140,1,Application Log,Intraday,API
Node145,Node137,1,Electronic Communications,EOD,Batch
Node013,Node093,1,Warrants,Intraday,API
Node017,Node066,1,Swift Payment,Intraday,MSG
Node017,Node074,1,Payments (VIPA format),Intraday,MSG
Node016,Node088,1,"Sales Orders, Trades",Intraday,API
Node117,Node151,1,Customer Info,Intraday,API
Node116,Node142,1,"SMTP/TLS Alerts, Emails",Intraday,API
Node116,Node149,2,Authenticate and Authorise,Intraday,API
Node116,Node143,2,ESM Reports/Spreadsheets & access dbs,EOD,Batch
Node146,Node137,1,Electronic Communications,EOD,Batch
Node019,Node004,1,IBank Trades,Intraday,API
Node020,Node093,1,Routed Executions,Intraday,API
Node150,Node130,1,Customer Data,EOD,Batch
Node150,Node052,1,Customer Onboarding,Intraday,API
Node112,Node143,2,"Customer Data, Brokerage Details",Intraday,MSG
Node112,Node067,1,Customer Data,Intraday,MSG
Node112,Node114,1,Customer Data,EOD,Batch
Node155,Node143,2,Customer services,Intraday,API
Node024,Node004,1,IBank Trades,Intraday,API
Node024,Node034,1,Blocks & Allocations,Intraday,API
Node025,Node088,1,Sales Orders & Trades,Intraday,API
Node027,Node143,1,Fwd Pts,Intraday,API
Node028,Node083,1,Entitlement,Intraday,API
Node026,Node143,1,MM,Intraday,API
