NodeID,LongName,LayerOrdinal,Layer,Critically,Desirability,DisplayWeight,Business Area,Business Function,non-Markets
Node001,Node001,2,Application,Bronze,AMBER,1,BA01,BF01,
Node002,Node002,1,Data & Integration,Gold,GREEN,2,BA02,BF02,
Node003,Node003,4,Channel,Silver,GREEN,1,BA01,BF03,1
Node004,Node004,3,Service,Platinum,GREEN,1,BA03,BF04,
Node005,Node005,2,Application,Silver,GREEN,2,BA03,BF04,
Node006,Node006,3,Service,Gold,GREEN,1,BA02,BF05,
Node007,Node007,4,Channel,Gold,GREEN,1,BA02,BF06,
Node008,Node008,4,Channel,Silver,GREEN,1,BA04,BF07,
Node009,Node009,1,Data & Integration,Gold,GREEN,2,BA05,BF08,
Node010,Node010,1,Data & Integration,Silver,GREEN,1,BA02,BF05,
Node011,Node011,4,Channel,Silver,GREEN,1,BA06,BF09,
Node012,Node012,2,Application,Gold,GREEN,2,BA01,BF10,1
Node013,Node013,2,Application,Bronze,AMBER,1,BA07,BF11,
Node014,Node014,4,Channel,Silver,GREEN,1,BA06,BF09,
Node015,Node015,2,Application,Silver,AMBER,1,BA01,BF01,
Node016,Node016,2,Application,Silver,AMBER,1,BA01,BF10,1
Node017,Node017,2,Application,Silver,RED,2,BA01,BF12,1
Node018,Node018,2,Application,Tin,RED,1,BA01,BF12,1
Node019,Node019,4,Channel,Silver,GREEN,1,BA03,BF13,
Node020,Node020,2,Application,Gold,AMBER,1,BA01,BF14,
Node021,Node021,2,Application,Platinum,AMBER,1,BA08,BF15,1
Node022,Node022,2,Application,Silver,AMBER,1,BA03,BF03,
Node023,Node023,4,Channel,Silver,GREEN,1,BA02,BF06,
Node024,Node024,4,Channel,Silver,GREEN,1,BA09,BF09,
Node025,Node025,2,Application,Bronze,AMBER,1,BA01,BF01,
Node026,Node026,4,Channel,Gold,AMBER,1,BA01,BF10,1
Node027,Node027,2,Application,Tin,AMBER,1,BA01,BF16,1
Node028,Node028,2,Application,Gold,GREEN,1,BA03,BF17,1
Node029,Node029,2,Application,Tin,GREEN,1,BA02,BF18,
Node030,Node030,2,Application,Platinum,GREEN,1,BA01,BF01,1
Node031,Node031,4,Channel,Tin,GREEN,1,BA03,BF13,
Node032,Node032,4,Channel,Tin,GREEN,1,BA03,BF13,
Node033,Node033,4,Channel,Gold,GREEN,1,BA01,BF19,
Node034,Node034,2,Application,Bronze,GREEN,1,BA03,BF02,
Node035,Node035,1,Data & Integration,Gold,GREEN,1,BA02,BF05,
Node036,Node036,4,Channel,Silver,GREEN,1,BA08,BF20,
Node037,Node037,4,Channel,Platinum,AMBER,1,BA03,BF13,1
Node038,Node038,2,Application,Gold,AMBER,2,BA01,BF14,1
Node039,Node039,2,Application,Gold,AMBER,2,BA01,BF14,1
Node040,Node040,2,Application,Silver,RED,1,BA03,BF21,
Node041,Node041,2,Application,Silver,RED,1,BA01,BF22,
Node042,Node042,2,Application,Silver,AMBER,1,BA06,BF23,
Node043,Node043,4,Channel,Gold,GREEN,1,BA04,BF24,1
Node044,Node044,2,Application,Gold,GREEN,1,BA03,BF25,
Node045,Node045,4,Channel,Gold,GREEN,1,BA03,BF13,1
Node046,Node046,1,Data & Integration,Bronze,GREEN,2,BA01,BF16,1
Node047,Node047,2,Application,Silver,GREEN,2,BA03,BF25,
Node048,Node048,2,Application,Bronze,GREEN,1,BA03,BF26,
Node049,Node049,4,Channel,Tin,GREEN,1,BA02,BF27,
Node050,Node050,2,Application,Tin,RED,1,BA01,BF03,1
Node051,Node051,2,Application,Tin,AMBER,1,BA02,BF28,1
Node052,Node052,2,Application,Gold,GREEN,1,BA02,BF05,
Node053,Node053,1,Data & Integration,Silver,AMBER,1,BA08,BF19,
Node054,Node054,2,Application,Silver,RED,2,BA10,BF29,1
Node055,Node055,2,Application,Gold,AMBER,1,BA11,BF30,
Node056,Node056,2,Application,Silver,GREEN,1,BA02,BF05,
Node057,Node057,4,Channel,Bronze,AMBER,1,BA02,BF31,
Node058,Node058,3,Service,Platinum,GREEN,1,BA02,BF05,
Node059,Node059,3,Service,Silver,GREEN,1,BA03,BF04,
Node060,Node060,2,Application,Bronze,GREEN,1,BA09,BF23,1
Node061,Node061,2,Application,Gold,AMBER,1,BA01,BF19,1
Node062,Node062,4,Channel,Platinum,AMBER,1,BA03,BF13,
Node063,Node063,4,Channel,Silver,GREEN,1,BA03,BF13,
Node064,Node064,2,Application,Platinum,AMBER,2,BA03,BF13,
Node065,Node065,3,Service,Bronze,GREEN,2,BA03,BF32,
Node066,Node066,4,Channel,Platinum,AMBER,2,BA12,BF33,
Node067,Node067,2,Application,Platinum,AMBER,1,BA03,BF13,
Node068,Node068,4,Channel,Silver,GREEN,1,BA02,BF34,
Node069,Node069,1,Data & Integration,Silver,GREEN,1,BA10,BF35,1
Node070,Node070,4,Channel,Silver,GREEN,2,BA03,BF13,
Node071,Node071,2,Application,Silver,GREEN,2,BA04,BF18,
Node072,Node072,3,Service,Platinum,GREEN,1,BA03,BF03,1
Node073,Node073,3,Service,Platinum,AMBER,1,BA03,BF36,
Node074,Node074,4,Channel,Gold,RED,1,BA03,BF13,1
Node075,Node075,4,Channel,Silver,GREEN,1,BA04,BF37,
Node076,Node076,4,Channel,Silver,GREEN,1,BA02,BF38,
Node077,Node077,4,Channel,Silver,GREEN,1,BA02,BF38,
Node078,Node078,2,Application,Platinum,GREEN,2,BA02,BF05,
Node079,Node079,2,Application,Gold,AMBER,2,BA01,BF39,
Node080,Node080,4,Channel,Tin,RED,1,BA06,BF09,1
Node081,Node081,2,Application,Tin,AMBER,1,BA02,BF05,1
Node082,Node082,4,Channel,Silver,GREEN,1,BA09,BF09,
Node083,Node083,2,Application,Bronze,RED,1,BA01,BF22,1
Node084,Node084,4,Channel,Silver,GREEN,1,BA02,BF06,
Node085,Node085,1,Data & Integration,Gold,GREEN,2,BA13,BF40,
Node086,Node086,4,Channel,Silver,GREEN,1,BA02,BF27,
Node087,Node087,2,Application,Gold,RED,2,BA10,BF41,1
Node088,Node088,1,Data & Integration,Gold,GREEN,1,BA08,BF42,
Node089,Node089,2,Application,Gold,GREEN,2,BA03,BF17,
Node090,Node090,4,Channel,Silver,GREEN,1,BA14,BF07,
Node091,Node091,3,Service,Platinum,GREEN,1,BA15,BF43,1
Node092,Node092,2,Application,Platinum,AMBER,3,BA10,BF44,
Node093,Node093,3,Service,Gold,AMBER,1,BA08,BF15,1
Node094,Node094,1,Data & Integration,Tin,AMBER,1,BA03,BF45,
Node095,Node095,2,Application,Tin,AMBER,1,BA01,BF46,
Node096,Node096,2,Application,Silver,RED,2,BA03,BF17,
Node097,Node097,2,Application,Platinum,RED,3,BA16,BF47,
