NodeID,LongName,LayerOrdinal,Layer,Critically,Desirability,DisplayWeight,BusinessArea,BusinessFunction,nonMarkets,ObjectType,ObjectColour,Object Base Colour,Xsize,Ysize,Zsize
Node001,Node001,2,Application,Bronze,AMBER,1,BA01,BF01,,Horizontal Rectange,Light Green,Brown,4,14,7
Node002,Node002,1,Data & Integration,Gold,GREEN,2,BA02,BF02,,Large Cylinder,Deep Purple,Yellow,28,19.6,19.6
Node003,Node003,4,Channel,Silver,GREEN,1,BA01,BF03,1,Few-Triangle Edge Sphere,Light Gray,Gray,2.5,2.5,2.5
Node004,Node004,2,Application,Silver,GREEN,2,BA03,BF04,,Vertical Rectangle,Yellow,Gray,15.6,15.6,52
Node005,Node005,3,Service,Gold,GREEN,1,BA03,BF04,,Circular pyramid,Green,Yellow,5,3,3
Node006,Node006,4,Channel,Gold,GREEN,1,BA02,BF05,,Sphere (no edges),Purple,Yellow,12,12,12
Node007,Node007,4,Channel,Silver,GREEN,1,BA02,BF06,,Sphere (no edges),Blue,Gray,5,5,5
Node008,Node008,1,Data & Integration,Gold,GREEN,2,BA04,BF07,,Large Cylinder,Light Purple,Yellow,24,16.8,16.8
Node009,Node009,1,Data & Integration,Silver,GREEN,1,BA05,BF08,,Small Cylinder,Green,Gray,5,3,3
Node010,Node010,4,Channel,Silver,GREEN,1,BA02,BF05,,Sphere (no edges),Light Blue,Gray,5,5,5
Node011,Node011,2,Application,Gold,GREEN,2,BA06,BF09,1,Horizontal Rectange,Light Gray,Yellow,2.8,9.8,4.9
Node012,Node012,2,Application,Bronze,AMBER,1,BA01,BF10,,Cube,Green,Brown,7.2,7.2,7.2
Node013,Node013,4,Channel,Silver,GREEN,1,BA07,BF11,,Sphere (no edges),Light Blue,Gray,5,5,5
Node014,Node014,2,Application,Silver,AMBER,1,BA06,BF09,1,Cube,Light Gray,Gray,2.7,2.7,2.7
Node015,Node015,2,Application,Tin,RED,1,BA01,BF01,1,Cube,Light Gray,Light Gray,2.7,2.7,2.7
Node016,Node016,4,Channel,Silver,GREEN,1,BA01,BF10,,Sphere (no edges),Orange,Gray,5,5,5
Node017,Node017,2,Application,Platinum,AMBER,1,BA01,BF12,1,Horizontal Rectange,Light Gray,Deep Blue,2,7,3.5
Node018,Node018,2,Application,Silver,AMBER,1,BA01,BF12,,Horizontal Rectange,Light Brown,Gray,4.8,16.8,8.4
Node019,Node019,4,Channel,Silver,GREEN,1,BA03,BF13,,Sphere (no edges),Purple,Gray,5,5,5
Node020,Node020,4,Channel,Silver,GREEN,1,BA01,BF14,,Sphere (no edges),Light Blue,Gray,5,5,5
Node021,Node021,2,Application,Tin,AMBER,1,BA08,BF15,1,Horizontal Rectange,Light Gray,Light Gray,1.2,4.2,2.1
Node022,Node022,2,Application,Tin,GREEN,1,BA03,BF03,,Horizontal Rectange,Brown,Light Gray,3.2,11.2,5.6
Node023,Node023,2,Application,Platinum,GREEN,1,BA02,BF06,1,Cube,Light Gray,Deep Blue,4.5,4.5,4.5
Node024,Node024,4,Channel,Tin,GREEN,1,BA09,BF09,,Sphere (no edges),Orange,Light Gray,5,5,5
Node025,Node025,4,Channel,Tin,GREEN,1,BA01,BF01,,Sphere (no edges),Orange,Light Gray,5,5,5
Node026,Node026,4,Channel,Gold,GREEN,1,BA01,BF10,,Sphere (no edges),Yellow,Yellow,5,5,5
Node027,Node027,2,Application,Bronze,GREEN,1,BA01,BF16,,Cube,Deep Purple,Brown,9,9,9
Node028,Node028,2,Application,Gold,GREEN,1,BA03,BF17,,#N/A,Green,Yellow,#N/A,#N/A,#N/A
Node029,Node029,4,Channel,Silver,GREEN,1,BA02,BF18,,Sphere (no edges),Yellow,Gray,5,5,5
Node030,Node030,4,Channel,Platinum,AMBER,1,BA01,BF01,1,Sphere (no edges),Light Gray,Deep Blue,2.5,2.5,2.5
Node031,Node031,4,Channel,Gold,GREEN,1,BA03,BF13,1,Few-Triangle Edge Sphere,Light Gray,Yellow,2.5,2.5,2.5
Node032,Node032,4,Channel,Gold,GREEN,1,BA03,BF13,1,Sphere (no edges),Light Gray,Yellow,2.5,2.5,2.5
Node033,Node033,1,Data & Integration,Bronze,GREEN,2,BA01,BF19,1,Small Cylinder,Light Gray,Brown,5,3,3
Node034,Node034,2,Application,Silver,GREEN,2,BA03,BF02,,Vertical Rectangle,Brown,Gray,14.4,14.4,48
Node035,Node035,2,Application,Bronze,GREEN,1,BA02,BF05,,Horizontal Rectange,Brown,Brown,3.2,11.2,5.6
Node036,Node036,4,Channel,Tin,GREEN,1,BA08,BF20,,Sphere (no edges),Orange,Light Gray,5,5,5
Node037,Node037,2,Application,Tin,RED,1,BA03,BF13,1,Horizontal Rectange,Light Gray,Light Gray,1.2,4.2,2.1
Node038,Node038,2,Application,Gold,GREEN,1,BA01,BF14,,Horizontal Rectange,Green,Yellow,4,14,7
Node039,Node039,2,Application,Silver,RED,2,BA01,BF14,1,Horizontal Rectange,Light Gray,Gray,4,14,7
Node040,Node040,2,Application,Gold,AMBER,1,BA03,BF21,,Horizontal Rectange,Deep Orange,Yellow,3.2,11.2,5.6
Node041,Node041,2,Application,Silver,GREEN,1,BA01,BF22,,Cube,Green,Gray,7.2,7.2,7.2
Node042,Node042,4,Channel,Bronze,AMBER,1,BA06,BF23,,Sphere (no edges),Orange,Brown,5,5,5
Node043,Node043,3,Service,Platinum,GREEN,1,BA04,BF24,,Circular pyramid,Green,Deep Blue,5,3,3
Node044,Node044,3,Service,Silver,GREEN,1,BA03,BF25,,Circular pyramid,Yellow,Gray,5,3,3
Node045,Node045,2,Application,Gold,AMBER,1,BA03,BF13,1,Cube,Light Gray,Yellow,4.5,4.5,4.5
Node046,Node046,4,Channel,Silver,GREEN,1,BA01,BF16,,Sphere (no edges),Orange,Gray,5,5,5
Node047,Node047,3,Service,Bronze,GREEN,2,BA03,BF25,,Dome,Yellow,Brown,24,16.8,16.8
Node048,Node048,4,Channel,Platinum,AMBER,2,BA03,BF26,,Many-Triangle Edge Sphere,Yellow,Deep Blue,12,12,12
Node049,Node049,2,Application,Platinum,AMBER,1,BA02,BF27,,Cube,Orange,Deep Blue,9,9,9
Node050,Node050,4,Channel,Silver,GREEN,1,BA01,BF03,,Sphere (no edges),Orange,Gray,5,5,5
Node051,Node051,1,Data & Integration,Silver,GREEN,1,BA02,BF28,1,Medium Cylinder,Light Gray,Gray,4,2.5,2.5
Node052,Node052,2,Application,Silver,GREEN,2,BA02,BF05,,Vertical Rectangle,Brown,Gray,14.4,14.4,48
Node053,Node053,3,Service,Platinum,GREEN,1,BA08,BF19,1,Square pyramid,Light Gray,Deep Blue,3.5,2.5,2.5
Node054,Node054,4,Channel,Gold,RED,1,BA10,BF29,1,Many-Triangle Edge Sphere,Light Gray,Yellow,2.5,2.5,2.5
Node055,Node055,4,Channel,Silver,GREEN,1,BA11,BF30,,Sphere (no edges),Blue,Gray,5,5,5
Node056,Node056,4,Channel,Silver,GREEN,1,BA02,BF05,,Sphere (no edges),Orange,Gray,5,5,5
Node057,Node057,4,Channel,Silver,GREEN,1,BA02,BF31,,Sphere (no edges),Orange,Gray,5,5,5
Node058,Node058,2,Application,Platinum,GREEN,2,BA02,BF05,,Vertical Rectangle,Green,Deep Blue,15.6,15.6,52
